"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"ElapsedTime"|"Min"|0.0|0.0|10,"Analog1"|"Volts"|0.0|5.0|100,"Analog3"|"Volts"|0.0|5.0|100,"Analog4"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|100,"AccelY"|"G"|-3.0|3.0|100,"AccelZ"|"G"|-3.0|3.0|100,"Yaw"|"Deg/Sec"|-120|120|100,"Pitch"|"Deg/Sec"|-120|120|100,"Roll"|"Deg/Sec"|-120|120|100,"Gsum"|"G"|0.0|3.0|100,"GsumMax"|"G"|0.0|3.0|100,"GsumPct"|"%"|0|100|100,"EngineTemp"|"C"|0|300|1,"RPM"|""|0|10000|25,"TPS"|"%"|0|100|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10,"LapDelta"|"s"|0.0|0.0|10,"BestLap"|"Min"|0.0|0.0|10
367,0,0.0002,2.67,2.12,,,-0.09,-0.07,-0.04,-0,-1,1,0.12,0.12,100,,,,,,,,,,,,,,,,,,,
377,0,0.0003,2.71,2.15,1.39,,-0.2,-0.07,-0.1,0,-1,1,0.23,0.23,100,,0,0,,,,,,,,,,,,,,,,
387,0,0.0005,2.69,2.15,,,-0.09,-0.06,-0.05,-0,-1,1,0.12,0.23,53,,,,,,,,,,,,,,,,,,,
397,0,0.0006,2.67,2.14,1.38,,-0.08,-0.05,-0.07,-0,-0,1,0.12,0.23,52,,,,,,,,,,,,,,,,,,,
407,0,0.0008,2.67,2.13,,,-0.06,-0.06,-0.04,-0,-1,1,0.09,0.23,39,,,,,,,,,,,,,,,,,,,
417,0,0.001,2.7,2.15,1.39,,-0.07,-0.06,-0.01,-0,-1,1,0.09,0.23,40,,0,0,,,,,,,,,,,,,,,,
427,0,0.0012,2.66,2.11,,,-0.07,-0.06,-0.03,-0,-0,0,0.1,0.23,43,,,,,,,,,,,,,,,,,,,
437,0,0.0013,2.7,2.15,1.39,,-0.02,-0.06,-0.01,-0,-0,1,0.06,0.23,27,,,,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.0013,0.0,0.0
447,0,0.0015,2.7,2.14,,,-0.08,-0.06,-0.01,-0,-1,1,0.1,0.23,44,,,,,,,,,,,,,,,,,,,
457,0,0.0016,2.7,2.14,1.38,,-0.04,-0.05,0.03,-0,-1,1,0.07,0.23,30,,0,0,,,,,,,,,,,,,,,,
467,0,0.0018,2.68,2.13,,,-0.03,-0.05,0.0,-0,-1,1,0.06,0.23,26,,,,,,,,,,,,,,,,,,,
477,0,0.002,2.71,2.16,1.39,,-0.03,-0.06,0.01,-0,-1,0,0.06,0.23,28,,,,,,,,,,,,,,,,,,,
487,0,0.0022,2.69,2.15,,,-0.03,-0.06,0.03,-0,-1,1,0.07,0.23,31,,,,,,,,,,,,,,,,,,,
497,0,0.0023,2.68,2.12,1.36,,-0.03,-0.06,0.02,-0,-1,0,0.07,0.23,30,,0,0,,,,,,,,,,,,,,,,
507,0,0.0025,2.7,2.16,,,0.01,-0.06,0.04,-0,-1,1,0.07,0.23,30,,,,,,,,,,,,,,,,,,,
517,0,0.0026,2.69,2.13,1.38,,-0.03,-0.06,0.01,-0,-1,1,0.06,0.23,27,,,,,,,,,,,,,,,,,,,
527,0,0.0028,2.7,2.15,,,-0.0,-0.05,0.04,-0,-1,1,0.06,0.23,28,,,,,,,,,,,,,,,,,,,
537,0,0.003,2.69,2.13,1.37,,0.0,-0.05,0.02,-0,-1,1,0.05,0.23,23,,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0,0.0,0.003,0.0,0.0
547,0,0.0032,2.7,2.15,,,0.01,-0.05,0.02,-0,-1,1,0.06,0.23,24,,,,,,,,,,,,,,,,,,,
557,0,0.0033,2.71,2.15,1.39,,-0.0,-0.05,0.02,-0,-1,1,0.06,0.23,25,,,,,,,,,,,,,,,,,,,
567,0,0.0035,2.7,2.15,,,-0.01,-0.05,0.01,-0,-0,0,0.05,0.23,23,,,,,,,,,,,,,,,,,,,
